frame,timestep,n_atoms,surface_area_A2,filled_volume_A3
56,56000,17872,140751.53416260044,4581980.590272116
57,57000,17984,141186.51960726004,4614436.1312001925
58,58000,18136,142085.0199518214,4653290.050640686
59,59000,18278,142531.3287272918,4689964.812400907
60,60000,18390,143135.7867629379,4718015.67309841
61,61000,18564,144037.68918296145,4765354.398339283
62,62000,18718,144871.54746512746,4802075.525448825
63,63000,18868,145672.48456659686,4839399.397398544
64,64000,19018,146441.39768535428,4877975.126623687
65,65000,19172,147325.04969614887,4918776.378417788
66,66000,19330,148180.95632052867,4961756.788221489
67,67000,19458,148892.5417526023,4993748.6786872605
68,68000,19598,149501.99898657543,5030006.155237222
69,69000,19746,150334.81567183498,5070575.581159682
70,70000,19880,151069.191413103,5105813.026322851
71,71000,19950,151224.6878414646,5124590.875419424
72,72000,20100,152060.57347605552,5164279.365519486
73,73000,20254,152925.61096151528,5205683.363802033
74,74000,20350,153513.0435501079,5230859.590820053
75,75000,20458,153968.00153037917,5258029.515093044
76,76000,20608,154727.44581410734,5296373.418896359
77,77000,20714,155267.7049696198,5323265.153132591
78,78000,20788,155460.0916543017,5343341.223801553
79,79000,20988,156875.92088253374,5398562.008714878
80,80000,21102,157438.20935257938,5424062.791381457
81,81000,21238,158135.57899397676,5459068.4111997
82,82000,21356,158512.5757848452,5490457.555948292
83,83000,21474,159141.4515474579,5521614.875706309
84,84000,21604,159880.03547885362,5556156.8449942125
85,85000,21752,160647.66443081357,5595938.065158147
86,86000,21864,161166.8347885918,5627234.480211537
87,87000,21990,161684.9850191384,5658577.26008381
88,88000,22090,162181.91294097799,5686303.565359833
89,89000,22174,162348.03251675653,5706008.715159181
90,90000,22274,162765.99127534422,5731184.941927292
91,91000,22452,163821.16998960348,5778801.858153042
92,92000,22548,164326.86015860754,5806991.813611676
93,93000,22634,164786.37168904362,5827948.820550136
94,94000,22766,165673.26102250846,5863000.804784962
95,95000,22890,166069.54204959742,5894807.235698495
96,96000,23028,166720.65262792286,5934032.075309666
97,97000,23164,167474.1726402102,5965699.410581992
98,98000,23312,168274.90142953425,6006454.29752255
99,99000,23440,168880.8337767634,6038585.283261241
100,100000,23582,169561.77261115372,6077485.567811557
101,101000,23702,170158.0003505492,6109987.473914171
102,102000,23806,170878.11759729343,6138223.794987099
103,103000,23928,171474.56366146868,6169705.670314146
104,104000,24038,171903.63506250796,6202300.306813021
105,105000,24188,172612.52348420673,6240273.290119063
106,106000,24278,173069.5670227891,6263548.550113139
107,107000,24370,173592.1516243928,6288400.221075756
108,108000,24542,174497.4129678978,6331148.80573343
109,109000,24678,174987.35055229755,6367823.567418342
110,110000,24794,175762.3917918287,6398378.141053903
111,111000,24844,175917.77876949075,6410664.881880562
112,112000,24966,176655.28772816487,6440616.709810827
113,113000,25086,177316.80702321682,6471634.934397764
114,114000,25212,177927.2026276203,6504322.300576497
115,115000,25394,178731.06538226386,6550733.725045128
116,116000,25494,179381.2515385979,6578135.475010991
117,117000,25660,180357.22790687397,6622275.0111839725
118,118000,25792,180915.1011961679,6654174.171592874
119,119000,25894,181445.37315644824,6680602.255488218
120,120000,26012,182067.57248537173,6711805.940047532
121,121000,26126,182858.31155966528,6741757.767642543
122,122000,26204,183182.67611473816,6759376.490345968
123,123000,26220,183029.58693377065,6759932.871253379
124,124000,26310,183401.9291104459,6782837.210122691
125,125000,26412,183976.3739716626,6811258.991322438
126,126000,26488,184247.50632623062,6830593.221010163
127,127000,26570,184722.3341961915,6849741.990519451
128,128000,26628,184943.5377265955,6862909.667211814
129,129000,26666,185076.79348274838,6872831.789755374
130,130000,26756,185629.06940152965,6896014.319405585
131,131000,26868,186156.3097592618,6925363.401766761
132,132000,26926,186376.24259552627,6940895.696581412
133,133000,27008,186779.28430156872,6961852.703239692
134,134000,27142,187574.54414304902,6996580.1320808185
135,135000,27238,188054.61642077882,7024260.072889846
136,136000,27380,188850.64081798942,7061769.405469374
137,137000,27420,188999.9088481662,7072665.194220568
138,138000,27476,189290.09166626853,7085925.601168501
139,139000,27580,189897.37090787038,7114161.921734511
140,140000,27652,190186.08820042075,7132290.660130115
141,141000,27720,190451.51158320266,7149213.906365403
142,142000,27798,190844.89768181895,7168779.961724357
143,143000,27876,191208.3513197903,7191777.03097871
144,144000,27976,191781.16017010057,7216999.62274196
145,145000,28110,192567.77131109228,7256409.922788668
146,146000,28266,193539.78939229692,7294614.73194769
147,147000,28328,193732.71113678435,7311259.787969858
148,148000,28432,194404.67800378977,7339727.934183449
149,149000,28492,194563.03542968616,7353081.071389164
150,150000,28542,194673.25147215702,7365414.176609413
151,151000,28598,194930.44592763882,7380065.535166822
152,152000,28756,195837.79858218314,7420774.05711598
153,153000,28872,196637.74553070308,7452487.757482806
154,154000,29010,197410.3542362326,7486056.060091671
155,155000,29170,198272.3329244602,7526254.566441706
156,156000,29260,198791.7555402792,7552311.729095159
157,157000,29338,199162.01337022157,7573825.116619757
158,158000,29544,200309.09814546554,7625383.062504376
159,159000,29592,200509.22561651538,7637484.343150975
160,160000,29654,200782.6880484568,7655659.446035841
161,161000,29736,201171.08706552838,7676477.357601145
162,162000,29772,201316.46138872075,7684173.95740538
163,163000,29818,201576.1454513288,7696089.7775848815
164,164000,29894,201993.3215533367,7716814.958954615
165,165000,30034,202873.1478982707,7754324.29131098
166,166000,30092,203237.21500098854,7769902.951373423
167,167000,30158,203584.57122884208,7785713.436427417
168,168000,30272,204291.11033097046,7815294.3439738015
169,169000,30360,204781.04237288667,7836900.461669651
170,170000,30506,205600.0541308926,7876542.586691933
171,171000,30510,205617.9949564327,7874409.794071832
172,172000,30588,206050.5496116953,7896386.832206031
173,173000,30680,206600.38186749528,7921470.329439976
174,174000,30728,206797.91996204102,7931763.37190253
175,175000,30802,207042.58135414342,7951329.426770762
176,176000,30844,207235.37032246857,7963337.977368645
177,177000,30938,207774.25247683018,7988004.188444231
178,178000,31048,208419.57515639745,8017492.366074302
179,179000,31054,208314.9821451039,8015684.128704577
180,180000,31114,208576.43929170896,8029871.836804559
181,181000,31178,208890.00838658697,8049855.177128566
182,182000,31232,209086.83508869214,8063440.139911235
183,183000,31370,210017.44336012818,8099280.330173726
184,184000,31490,210721.42781815253,8131921.332128392
185,185000,31544,211032.69419251574,8145830.849423557
186,186000,31570,211184.86046062876,8151487.386808153
187,187000,31694,211963.42289583324,8183154.722162442
188,188000,31818,212667.62429717375,8214497.501586752
189,189000,31956,213502.65364368705,8250384.057835965
190,190000,32020,213881.5582342977,8269069.17629271
