frame,step,time_s,time_kappa,energy_eV,n_atoms,ovito_surface_area_A2,gamma_ovito_eV_A2,gamma_ovito_mJ_m2
51,51000,0.0000016597229151478155,4.9946414462219275,-16595.037999999964,17156,137170.67778647246,0.008341914018834728,133.65219723814036
52,52000,0.0000016917455422362077,5.091007857152844,-16768.653999999977,17330,137994.84071205446,0.008337746498804555,133.58542620599968
53,53000,0.000001722169656745211,5.1825638282757325,-16930.116000000013,17496,138951.93160471055,0.0083535938406533,133.83932861421036
54,54000,0.0000017519720859952027,5.272248947985518,-17057.252000000008,17600,139437.7606741049,0.00818392374119586,131.1209139258187
55,55000,0.0000017823711095334764,5.363729412286642,-17182.624000000018,17718,139914.2899805495,0.008132035692409648,130.2895757323275
56,56000,0.0000018126023127009299,5.454704850976582,-17328.42999999999,17872,140751.53416260044,0.00817907958765188,131.043302029622
57,57000,0.000001843988567682219,5.549156213032564,-17454.138000000006,17984,141186.51960726004,0.008083760426808532,129.51612070686497
58,58000,0.0000018775524168019992,5.650160658038653,-17598.814000000013,18136,142085.0199518214,0.008120560495337398,130.10572280613047
59,59000,0.0000019110031401222573,5.750824671035415,-17749.278,18278,142531.3287272918,0.0080696223789554,129.28960420765836
60,60000,0.0000019425375209616558,5.845721791563139,-17874.03800000001,18390,143135.7867629379,0.007973002599902478,127.74158468385001
61,61000,0.0000019717846284278974,5.93373576895646,-18037.52600000005,18564,144037.68918296145,0.008037132548894651,128.76905974199872
62,62000,0.0000020032495094632343,6.028423742162842,-18191.110000000088,18718,144871.54746512746,0.008029885925529544,128.652956035689
63,63000,0.0000020340547771449933,6.121126726089272,-18342.18000000011,18868,145672.48456659686,0.008013400770041937,128.38883472638798
64,64000,0.000002064536819406034,6.212857020497434,-18483.73000000012,19018,146441.39768535428,0.0080638536552153,129.19717906381445
65,65000,0.0000020956102320373382,6.306366939043112,-18638.564000000137,19172,147325.04969614887,0.008045366368071545,128.90098006893675
66,66000,0.000002126143603466948,6.398251699471111,-18789.67600000016,19330,148180.95632052867,0.008081632280800286,129.48202404878344
67,67000,0.0000021563957103609446,6.489290044214839,-18919.858000000157,19458,148892.5417526023,0.008057582910991411,129.09671066508142
68,68000,0.0000021868043907806523,6.5807995691861585,-19062.606000000163,19598,149501.99898657543,0.008038193523470866,128.78605842875152
69,69000,0.000002217003438770736,6.671678242578629,-19203.23200000021,19746,150334.81567183498,0.008076186441403649,129.39477208244537
70,70000,0.000002248427139490798,6.766242290937337,-19336.406000000225,19880,151069.191413103,0.008072552640233452,129.33655216917043
71,71000,0.0000022773857725825635,6.853388155916363,-19429.6260000002,19950,151224.6878414646,0.007926443870437484,126.9956315992746
72,72000,0.000002307035359207032,6.942613322880288,-19568.974000000224,20100,152060.57347605552,0.007986462054156393,127.95722891497014
73,73000,0.0000023358394387495118,7.029294086392149,-19721.20800000024,20254,152925.61096151528,0.007987072880206728,127.96701542722302
74,74000,0.000002365956844123046,7.11992707082493,-19827.29200000023,20350,153513.0435501079,0.007912083376832491,126.76555112620834
75,75000,0.0000023954267423098135,7.208611497337448,-19944.80800000024,20458,153968.00153037917,0.007850748129384922,125.78285212319732
76,76000,0.0000024243260449968323,7.295578817996898,-20093.70600000027,20608,154727.44581410734,0.007852297913968125,125.80768240966671
77,77000,0.0000024545846321013525,7.3866366637837,-20203.652000000275,20714,155267.7049696198,0.007822772934251744,125.33464008345763
78,78000,0.000002485142676413311,7.478595672870709,-20305.168000000238,20788,155460.0916543017,0.007652279034063244,122.60302665224219
79,79000,0.0000025166385207403616,7.573376824606287,-20471.628000000277,20988,156875.92088253374,0.007840361943887496,125.61644708599366
80,80000,0.0000025455200280216013,7.660290593151438,-20593.64200000026,21102,157438.20935257938,0.007786076868128809,124.74670428643877
81,81000,0.0000025750326752808676,7.749103665407978,-20727.52600000024,21238,158135.57899397676,0.007794362330356448,124.8794520262689
82,82000,0.000002604905937798475,7.839001945260928,-20856.524000000274,21356,158512.5757848452,0.007731752474095487,123.8763315386748
83,83000,0.000002636450997251775,7.933931201181308,-20978.154000000264,21474,159141.4515474579,0.007703599458712622,123.4252705044441
84,84000,0.0000026668272901916536,8.02534326178215,-21110.350000000286,21604,159880.03547885362,0.007681922238265696,123.07796314354279
85,85000,0.00000269647158989721,8.114552518702247,-21255.100000000293,21752,160647.66443081357,0.007696769227119502,123.31583812981106
86,86000,0.000002725091894515197,8.200680244206215,-21370.742000000293,21864,161166.8347885918,0.0076730054394990345,122.93510027720254
87,87000,0.000002751794978902772,8.281038435809698,-21496.556000000317,21990,161684.9850191384,0.007676062188785034,122.98407480002278
88,88000,0.0000027813171582728553,8.369880193261414,-21606.290000000296,22090,162181.91294097799,0.007613487704076281,121.98152102717324
89,89000,0.0000028115304406650504,8.460801702559866,-21702.33400000029,22174,162348.03251675653,0.0075491028810171406,120.94996243627745
90,90000,0.0000028407120797854118,8.5486186645895,-21815.56000000025,22274,162765.99127534422,0.007469349035838255,119.67216496410481
91,91000,0.000002869109639421947,8.634076078617893,-21977.356000000294,22452,163821.16998960348,0.007557094117190563,121.07799615501578
92,92000,0.000002898537116497065,8.722632846326338,-22085.280000000283,22548,164326.86015860754,0.007481138499288271,119.86105299277494
93,93000,0.0000029273508357736106,8.809342618906433,-22178.322000000277,22634,164786.37168904362,0.007435287199063852,119.1264341741941
94,94000,0.000002959161446782336,8.905071005086889,-22309.244000000264,22766,165673.26102250846,0.00742908054325387,119.02699258505378
95,95000,0.000002987833190341583,8.991353526952118,-22430.89800000028,22890,166069.54204959742,0.0074508665751012735,119.37604329678867
96,96000,0.0000030180717540193,9.082351115790912,-22561.976000000315,23028,166720.65262792286,0.007491429407891508,120.0259315258423
97,97000,0.000003047524479765797,9.170983864893229,-22698.448000000317,23164,167474.1726402102,0.007482514946897613,119.88310611475107
98,98000,0.000003075969060028711,9.256582779148674,-22834.254000000317,23312,168274.90142953425,0.007549277932761995,120.95276707443092
99,99000,0.000003104790440318914,9.343315606189236,-22966.71400000032,23440,168880.8337767634,0.0075215521595468,120.50855121438123
100,100000,0.0000031336752490476164,9.430239309854388,-23100.47800000034,23582,169561.77261115372,0.007568392216225532,121.25901165784022
101,101000,0.0000031631763658791742,9.51901768333585,-23221.516000000353,23702,170158.0003505492,0.00755975033409881,121.12055344166806
102,102000,0.0000031927603177611977,9.608045334195168,-23329.30000000036,23806,170878.11759729343,0.007526440588669111,120.58687248354856
103,103000,0.0000032203533890257527,9.69108178329681,-23455.330000000344,23928,171474.56366146868,0.0075009492518025135,120.1784562405777
104,104000,0.0000032486806503386758,9.776327647001045,-23564.766000000353,24038,171903.63506250796,0.007507264168848931,120.27963236595188
105,105000,0.0000032779685735347315,9.864464452086823,-23711.52000000039,24188,172612.52348420673,0.007524784261197891,120.56033519182213
106,106000,0.0000033056138341110847,9.947657955656641,-23816.54600000036,24278,173069.5670227891,0.0074357729214760675,119.13421630518873
107,107000,0.000003333981086400608,10.033024165104964,-23922.406000000356,24370,173592.1516243928,0.007351565079744774,117.78505794097424
108,108000,0.000003364564483153655,10.125059467862359,-24087.04000000039,24542,174497.4129678978,0.007389152527073956,118.38727523939944
109,109000,0.0000033936766837996207,10.212667467131393,-24214.526000000405,24678,174987.35055229755,0.007443543752668654,119.25871874682393
110,110000,0.0000034231653274701895,10.301408304849343,-24328.466000000404,24794,175762.3917918287,0.007444880481311414,119.28013550079822
111,111000,0.0000034526439353680396,10.390118941691043,-24402.70800000038,24844,175917.77876949075,0.007310165061171446,117.12175651692071
112,112000,0.0000034819700714279183,10.478370741606193,-24516.1340000004,24966,176655.28772816487,0.007351662193084436,117.7866138682108
113,113000,0.0000035104962419144105,10.564215187153984,-24640.304000000397,25086,177316.80702321682,0.007323727636430814,117.33905292869497
114,114000,0.000003540072304570769,10.653219096789314,-24767.74800000041,25212,177927.2026276203,0.00731456450042317,117.19224330463886
115,115000,0.000003570164958582059,10.743777596391773,-24929.070000000407,25394,178731.06538226386,0.007431981660035515,119.07347360025433
116,116000,0.0000035987358327967775,10.829756569872968,-25037.07000000043,25494,179381.2515385979,0.007379399957607854,118.23102185019894
117,117000,0.000003626091350639378,10.912078144126431,-25194.31600000047,25660,180357.22790687397,0.007419297887470659,118.87025715991051
118,118000,0.000003653392106579905,10.994234922158023,-25326.260000000457,25792,180915.1011961679,0.007421536351151117,118.90612130195939
119,119000,0.000003681836923840059,11.079834549614588,-25440.21400000045,25894,181445.37315644824,0.007353078101634333,117.80929922415605
120,120000,0.000003711655662799784,11.169568750500192,-25564.980000000447,26012,182067.57248537173,0.0073128233755438594,117.16434740865378
121,121000,0.000003740340391166712,11.255890347838815,-25677.56200000046,26126,182858.31155966528,0.007310151715818383,117.12154270079222
122,122000,0.000003770570886897444,11.34686365762354,-25767.466000000422,26204,183182.67611473816,0.007246700551356211,116.10494296977838
123,123000,0.0000037994131908478654,11.433659450704745,-25808.118000000373,26220,183029.58693377065,0.007121045410386291,114.09172566173856
124,124000,0.000003827565962958063,11.518380220132162,-25904.002000000353,26310,183401.9291104459,0.007091190405180824,113.61339574425708
125,125000,0.000003855335132016553,11.601946604280279,-26001.69000000038,26412,183976.3739716626,0.007111337025270091,113.93618018386807
126,126000,0.000003883881020203972,11.68785038674833,-26088.570000000374,26488,184247.50632623062,0.007055845834340863,113.04711328887166
127,127000,0.000003912066668887276,11.772670092385608,-26176.430000000397,26570,184722.3341961915,0.007021078450763448,112.49007839294116
128,128000,0.000003941405024426112,11.860958664653236,-26244.05600000037,26628,184943.5377265955,0.006971295217168466,111.69246305663272
129,129000,0.000003969649490234198,11.94595536998516,-26292.98400000037,26666,185076.79348274838,0.006914210992740752,110.77787295115176
130,130000,0.000003996741482148821,12.027483909744724,-26377.142000000407,26756,185629.06940152965,0.0069415959696072045,111.21662865173238
131,131000,0.0000040255848081857035,12.114282778613672,-26487.766000000425,26868,186156.3097592618,0.006949783231482486,111.34780304846252
132,132000,0.000004055630824475575,12.204700930273576,-26559.82800000036,26926,186376.24259552627,0.006876713373716245,110.17709486083477
133,133000,0.000004082454359979828,12.285421598127833,-26640.88200000037,27008,186779.28430156872,0.006881865967128756,110.25964850853504
134,134000,0.000004110121496440961,12.368680933289056,-26759.494000000414,27142,187574.54414304902,0.006959014646486933,111.49570662265134
135,135000,0.00000413744953326571,12.450919808298272,-26858.456000000377,27238,188054.61642077882,0.006942855351544348,111.2368061748621
136,136000,0.000004167349044471748,12.540897078918864,-26994.464000000407,27380,188850.64081798942,0.006970884474087484,111.68588222696346
137,137000,0.000004195280067684419,12.624950534408432,-27051.13800000037,27420,188999.9088481662,0.006884352526566083,110.29948758283042
138,138000,0.0000042230768420597776,12.708599991856623,-27113.262000000337,27476,189290.09166626853,0.006851504949800684,109.77321138305999
139,139000,0.000004252060134850923,12.795820065822856,-27218.580000000333,27580,189897.37090787038,0.006841274282991271,109.60929802993718
140,140000,0.000004280812224742099,12.88234437570935,-27295.752000000328,27652,190186.08820042075,0.006816565881693157,109.21342579770385
141,141000,0.0000043098385100060545,12.969693827889625,-27367.982000000302,27720,190451.51158320266,0.006796995147156758,108.8998680618595
142,142000,0.0000043378170464929965,13.053890266142613,-27436.14800000031,27798,190844.89768181895,0.006848409445971803,109.72361594400908
143,143000,0.00000436651921136435,13.140264335545632,-27527.466000000317,27876,191208.3513197903,0.006779609734888773,108.62132304877727
144,144000,0.000004392823857864859,13.219423499066584,-27629.452000000332,27976,191781.16017010057,0.006766733493783455,108.41502292245035
145,145000,0.000004420994966168319,13.304199448012218,-27753.984000000357,28110,192567.77131109228,0.0068119186874760545,109.13896953782083
146,146000,0.0000044489870907986035,13.388436777370158,-27888.514000000396,28266,193539.78939229692,0.0069160455542630695,110.8072658671987
147,147000,0.000004477806741288728,13.475164398884491,-27968.112000000358,28328,193732.71113678435,0.00682920293757473,109.41589375426393
148,148000,0.000004505042942731939,13.557126911617406,-28069.01000000036,28432,194404.67800378977,0.00683974281716473,109.58476124230666
149,149000,0.000004531714168335068,13.637389229865304,-28135.73600000031,28492,194563.03542968616,0.006810091120718215,109.10968869025598
150,150000,0.000004560060790649837,13.722693357067245,-28200.0480000003,28542,194673.25147215702,0.006741450045526163,108.00993742220255
151,151000,0.0000045887340294421075,13.808980378570793,-28264.334000000286,28598,194930.44592763882,0.006699815381761977,107.34287656772828
152,152000,0.0000046158116272332964,13.890465601771412,-28401.380000000347,28756,195837.79858218314,0.006803201474104329,108.99930438204312
153,153000,0.000004644974257804768,13.978225360947937,-28506.206000000388,28872,196637.74553070308,0.006852407691936356,109.787674906623
154,154000,0.000004672984288405518,14.062516575144969,-28637.73000000043,29010,197410.3542362326,0.006882161805827978,110.26438836704831
155,155000,0.00000469931098200446,14.141742085494418,-28782.55200000047,29170,198272.3329244602,0.006956230249860457,111.45109567050406
156,156000,0.000004725956252460109,14.221926296334049,-28875.56000000049,29260,198791.7555402792,0.006938315908780439,111.16407628358496
157,157000,0.000004754563498335828,14.308014723871606,-28964.36400000046,29338,199162.01337022157,0.006884485534150316,110.30161859926646
158,158000,0.000004781815044479141,14.39002341375518,-29139.48400000048,29544,200309.09814546554,0.007034188726546442,112.70012816818925
159,159000,0.000004809982928107796,14.474789658614498,-29217.506000000474,29592,200509.22561651538,0.006885578435378529,110.31912880737758
160,160000,0.000004836338592119005,14.55410235027626,-29288.708000000468,29654,200782.6880484568,0.006840868669255221,109.60279938143388
161,161000,0.0000048639137324025545,14.637084839274031,-29370.000000000433,29736,201171.08706552838,0.006845039314973846,109.66962049262463
162,162000,0.000004890443210169968,14.71692059257623,-29425.76400000036,29772,201316.46138872075,0.0067480025757881345,108.11492053099563
163,163000,0.000004918255959220523,14.800618122973285,-29474.544000000362,29818,201576.1454513288,0.006733276881352791,107.87898889555832
164,164000,0.000004945743602527636,14.883337305354665,-29556.494000000363,29894,201993.3215533367,0.006702706750837492,107.3892014074589
165,165000,0.000004973004631223369,14.96537453129622,-29678.886000000402,30034,202873.1478982707,0.006783894341156086,108.68997000925106
166,166000,0.00000500054823373287,15.048262112962199,-29749.946000000367,30092,203237.21500098854,0.00671718513753986,107.62117073618441
167,167000,0.0000050274028471847965,15.129076304382409,-29822.162000000364,30158,203584.57122884208,0.006686213949236596,107.12495759391737
168,168000,0.000005054948453477454,15.211969916078047,-29924.182000000375,30272,204291.11033097046,0.006740704467113866,107.99799193909257
169,169000,0.0000050827402256450945,15.295604320270204,-30019.61400000036,30360,204781.04237288667,0.006702895854491352,107.39223118201508
170,170000,0.000005110497110152522,15.379133736242897,-30147.166000000376,30506,205600.0541308926,0.006790066305677412,108.78885578267051
171,171000,0.000005137360192988777,15.459973414771587,-30180.22600000034,30510,205617.9949564327,0.0066488052287900674,106.5256038158447
172,172000,0.000005165682162763645,15.545203354531504,-30253.530000000344,30588,206050.5496116953,0.006670508778500457,106.87333301805315
173,173000,0.000005192605153343155,15.62622331477751,-30344.19000000038,30680,206600.38186749528,0.0066743826295733045,106.93539895477826
174,174000,0.000005218891639968643,15.70532782937869,-30398.430000000368,30728,206797.91996204102,0.006645724484327007,106.4762448479043
175,175000,0.000005247357917281202,15.790992037052952,-30478.150000000343,30802,207042.58135414342,0.006622396180688931,106.10248421790646
176,176000,0.000005275095400021579,15.874463066852293,-30525.148000000332,30844,207235.37032246857,0.0065990086435133875,105.72777456201185
177,177000,0.000005302569235731276,15.95714069772065,-30615.99600000033,30938,207774.25247683018,0.006612445881151125,105.94306284369874
178,178000,0.000005330388328271894,16.040857317724825,-30723.660000000335,31048,208419.57515639745,0.006621124714241164,106.0821130795712
179,179000,0.000005356669360390657,16.11994541795641,-30749.762000000293,31054,208314.9821451039,0.006528930305417652,104.60499580354646
180,180000,0.000005384123392711904,16.202563454043116,-30810.176000000287,31114,208576.43929170896,0.00652854178843891,104.59877107529394
181,181000,0.000005411557550200517,16.285121680349583,-30879.44800000029,31178,208890.00838658697,0.0065039204627029236,104.20429394737093
182,182000,0.000005439045596410909,16.367842075196855,-30936.210000000283,31232,209086.83508869214,0.0064933691278258095,104.03524292539471
183,183000,0.0000054666494516253824,16.450910976681193,-31047.7940000003,31370,210017.44336012818,0.006612717390423023,105.94741290181223
184,184000,0.000005492498258085177,16.52869837052938,-31162.66000000033,31490,210721.42781815253,0.006634351401633957,106.29402797443076
185,185000,0.000005519980107331327,16.611400116712968,-31227.794000000293,31544,211032.69419251574,0.006580506424909002,105.43133633876079
186,186000,0.000005546509300482427,16.6912350135129,-31267.35000000023,31570,211184.86046062876,0.006515760632643945,104.39399438359186
187,187000,0.0000055740194767188915,16.774022004744676,-31373.76200000026,31694,211963.42289583324,0.006594694409547655,105.6586529134768
188,188000,0.000005600953442076727,16.855074991637593,-31486.0920000003,31818,212667.62429717375,0.006647556273183454,106.5055933409465
189,189000,0.000005628448340793926,16.937816007887506,-31602.476000000348,31956,213502.65364368705,0.0067447779942019104,108.06325703827689
190,190000,0.000005654288355586521,17.01557694477412,-31683.76200000032,32020,213881.5582342977,0.00666218261996552,106.73993325149658
191,191000,0.000005680234238416079,17.093656472722188,-31766.700000000325,32106,214330.72679452132,0.006676149618862074,106.9637092442882
192,192000,0.000005708304568297049,17.178129146897522,-31830.180000000306,32160,214694.2730527682,0.006629240639548328,106.21214453847547
193,193000,0.000005734941024774625,17.258286833634973,-31939.15400000031,32292,215539.15505430667,0.006730906965066998,107.84101865058199
194,194000,0.000005760730309891035,17.335895108567648,-31997.636000000326,32326,215755.3583443211,0.006616048894237107,106.00078947748231
195,195000,0.0000057864279563846304,17.41322761333447,-32059.33600000031,32388,216139.37512403738,0.00661543505980404,105.99095476562427
196,196000,0.000005811759319894629,17.489457854491974,-32157.166000000307,32500,216821.55234630435,0.0066775372850722565,106.98594210806566
197,197000,0.0000058362354560429835,17.563114440741526,-32251.506000000332,32598,217362.72518911434,0.006693079499872448,107.23495584200043
198,198000,0.000005862176594018394,17.641179689893434,-32346.990000000336,32690,217987.27745013716,0.006672270129766455,106.90155297647962
199,199000,0.0000058877222708386355,17.718054868908965,-32415.656000000294,32738,218149.62558151037,0.006580052549589951,105.42406445445145
200,200000,0.000005912802311755484,17.793528799342152,-32512.114000000285,32838,218739.51416453952,0.006594044087136137,105.6482335997538
201,201000,0.000005937688793643974,17.868420248243932,-32603.676000000254,32944,219311.9210771711,0.0066590999377815555,106.69054323784462
202,202000,0.000005963526037469393,17.94617284639679,-32724.5840000003,33060,219993.41376747467,0.0066340895166175015,106.28983211388916
203,203000,0.000005989872965486704,18.025459248635908,-32774.718000000335,33086,219996.37726166606,0.006528316592647454,104.59516304094247
204,204000,0.00000601629191427644,18.10496238460308,-32820.476000000366,33126,220070.35298090565,0.0065061376082941255,104.23981653597492
205,205000,0.000006040910870136092,18.179048761417594,-32862.03400000041,33152,220134.28991638252,0.006437588621644932,103.14154068903777
206,206000,0.000006068381573914759,18.26171696729556,-32891.85800000042,33182,220266.9308853316,0.006439141791728809,103.16642521720793
207,207000,0.0000060939170815086355,18.33856154382979,-32973.31800000033,33262,220748.49701977873,0.006430802561126762,103.03281601304654
208,208000,0.000006120146976176219,18.41749575498098,-33045.154000000286,33330,221131.9446345057,0.006412759596283306,102.74373584624387
209,209000,0.000006146836315863685,18.497812584349717,-33116.44800000023,33408,221527.33500266296,0.006443556954190843,103.23716391852777
210,210000,0.000006173887631868971,18.579218717181725,-33191.11400000019,33482,221965.07317899138,0.006439184235292955,103.16710523807531
211,211000,0.0000062002858348708505,18.658659422383547,-33249.63400000014,33536,222188.7358443174,0.006420622515263081,102.86971369688817
